"Revised.sintaxon","Aegopodion podagrariae","Arction lappae","Balloto-Conion maculati","Bidention tripartitae","Carduo carpetani-Cirsion odontolepidis","Caucalidion","Chenopodion muralis","Cirsion richterano-chodati","Cymbalario-Asplenion","Cynancho-Convolvulion sepium","Dauco-Melilotion","Echio-Galactition tomentosae","Euphorbion prostratae","Galio valantiae-Parietarion judaicae","Geo urbani-Alliarion officinalis","Geranio pusilli-Anthriscion caucalidis","Hordeion murini","Onopordion castellani","Poion supinae","Polycarpion tetraphylli","Polygono-Coronopodion","Potentillion anserinae","Roemerion hybridae","Rumicion alpini","Saginion procumbentis","Scleranthion annui","Senecionion fluviatilis","Silybo mariani-Urticion piluliferae","Sisymbrion officinalis","Spergulo arvensis-Erodion cicutariae","Taeniathero-Aegilopion geniculatae","Trifolion maritimi","<NA>"
"Arction lappae",0,37,2,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3
"Balloto-Conion maculati",17,59,137,1,3,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,9,1,4,0,0,0,2
"Cirsion richterano-chodati",0,2,0,0,23,0,0,86,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
"Cymbalario-Asplenion",0,0,0,0,0,0,0,0,25,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dauco-Melilotion",0,27,4,0,0,0,1,0,0,0,39,13,0,0,1,0,0,3,0,0,1,0,0,0,0,1,2,9,3,6,0,1,24
"Galio valantiae-Parietarion judaicae",0,0,0,0,0,0,0,0,21,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geo urbani-Alliarion officinalis",22,13,6,0,0,0,0,1,1,0,0,0,0,2,140,6,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
"Geranio pusilli-Anthriscion caucalidis",0,1,2,0,0,0,0,0,0,0,0,0,0,1,8,24,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
"Oxalidion europaeae",0,3,0,12,0,9,8,0,0,4,0,19,0,3,8,0,0,0,0,2,0,5,2,0,0,199,1,0,16,313,1,1,49
"Poion supinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygono-Coronopodion",0,2,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,3,106,60,0,0,2,4,0,0,4,0,0,2,3
"Saginion procumbentis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,2,0,0,34,0,0,0,0,0,0,0,0
"Scleranthion annui",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,110,0,0,0,0,0,0,19
"Senecionion fluviatilis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"Sisymbrion officinalis",0,15,3,0,1,0,1,2,0,0,1,3,0,0,0,1,1,0,0,0,2,4,0,0,0,3,0,12,134,1,0,1,12
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
