"Revised.sintaxon","?","+","C35b","H","H25","H32d","R","R1E","R1R","R21","R22","R36","R54","R55","R57","S32","Sa","V","V11","V13","V15","V32","V33","V34","V35","V37","V38","V39","<NA>"
"Arction lappae",0,0,0,0,5,0,11,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,2,5,18,22,0
"Balloto-Conion maculati",7,1,0,0,2,1,13,0,0,0,1,0,0,29,75,1,1,13,0,0,1,0,0,0,0,4,23,60,7
"Cirsion richterano-chodati",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,112,0,0
"Cymbalario-Asplenion",67,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
"Dauco-Melilotion",1,0,0,0,5,0,8,1,0,0,2,0,1,0,1,0,3,9,1,0,0,6,11,0,0,4,53,0,29
"Galio valantiae-Parietarion judaicae",59,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,1
"Geo urbani-Alliarion officinalis",2,0,0,0,0,0,5,0,0,0,0,0,0,35,3,0,0,10,1,0,0,24,0,0,0,1,1,114,0
"Geranio pusilli-Anthriscion caucalidis",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,2,0,0,5,0,17,0
"Oxalidion europaeae",0,0,2,0,1,1,10,0,0,0,1,0,0,1,1,0,0,41,1,5,423,76,3,6,0,71,1,3,8
"Poion supinae",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Polygono-Coronopodion",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,17,153,7,1,0,2
"Saginion procumbentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,1
"Scleranthion annui",0,1,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,1,0,1,109,3,1,0,0,0,2,0,0
"Senecionion fluviatilis",0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,13,0,0,1,0,0,0,0,0,3,4,0
"Sisymbrion officinalis",0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,4,68,10,0,3,85,15,0,5
NA,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,44
