"SIVIMID","Revised.sintaxon"
"NEW-OMAR-BA20","Saginion procumbentis"
"Q-P08774","Saginion procumbentis"
"R-P15163","Saginion procumbentis"
"R-P15169","Saginion procumbentis"
"R-P15170","Saginion procumbentis"
"R-P15171","Saginion procumbentis"
"R-P15172","Saginion procumbentis"
"R-P15173","Saginion procumbentis"
"R-P15174","Saginion procumbentis"
"R-P15175","Saginion procumbentis"
"R-P15176","Saginion procumbentis"
"R-P15178","Saginion procumbentis"
"R-P28987","Saginion procumbentis"
"R-P28989","Saginion procumbentis"
"R-P28992","Saginion procumbentis"
"S-P11162","Saginion procumbentis"
"S-P17973","Saginion procumbentis"
"S-P17974","Saginion procumbentis"
"S-P17975","Saginion procumbentis"
"S-P17976","Saginion procumbentis"
"S-P17977","Saginion procumbentis"
"S-P17978","Saginion procumbentis"
"S-P18271","Saginion procumbentis"
"S-P20442","Saginion procumbentis"
"T-P02599","Saginion procumbentis"
"T-P03124","Saginion procumbentis"
"T-P03127","Saginion procumbentis"
"T-P03128","Saginion procumbentis"
"T-P03129","Saginion procumbentis"
"T-P03130","Saginion procumbentis"
"T-P03131","Saginion procumbentis"
"T-P03132","Saginion procumbentis"
"T-P04827","Saginion procumbentis"
"T-P04831","Poion supinae"
"T-P04833","Poion supinae"
"T-P04834","Poion supinae"
"T-P04835","Poion supinae"
"T-P05134","Saginion procumbentis"
"T-P05137","Saginion procumbentis"
"T-P06973","Saginion procumbentis"
"T-P06980","Saginion procumbentis"
"T-P11679","Saginion procumbentis"
"T-P11680","Saginion procumbentis"
"T-P11848","Saginion procumbentis"
"T-P11849","Saginion procumbentis"
"T-P11850","Saginion procumbentis"
"T-P11851","Saginion procumbentis"
"T-P12313","Saginion procumbentis"
"T-P12314","Saginion procumbentis"
"T-P13254","Saginion procumbentis"
"T-P13260","Saginion procumbentis"
"T-P13306","Saginion procumbentis"
"T-P15238","Saginion procumbentis"
"T-P15240","Saginion procumbentis"
"T-P15243","Saginion procumbentis"
"T-P15244","Saginion procumbentis"
"T-P15245","Saginion procumbentis"
"T-P15246","Saginion procumbentis"
"T-P15247","Saginion procumbentis"
"T-P15266","Saginion procumbentis"
