Alliance,CANTEUNIS,CANTEUNIS_EN,CANTEUNIS_ES
Galio valantiae-Parietarion judaicae,J25Z,Sunny constructed walls with hemicryptophytes,"Muros construidos soleados, con hemicriptófitos"
Cymbalario-Asplenion,J25Y,Shady constructed walls with ferns,"Muros contruidos sombríos, con helechos"
Polycarpion tetraphylli,V34Z,Trampled sunny soils with annuals,"Suelos pisoteados soleados, con céspedes anuales"
Polygono-Coronopodion,V34Y,Trampled dry soils with annuals,"Suelos pisoteados secos, con céspedes anuales"
Saginion procumbentis,V35Z,Trampled shady soils with bryophytes,"Suelos pisoteados sombríos, con briófitos"
Scleranthion annui,V10Z,Cereal crops with winter-spring weeds,"Cultivos de cereales, con malas hierbas de invierno y primavera"
Oxalidion europeae,V10Y,Vegetable gardens and root crops with winter-spring weeds,"Huertos y cultivos de raíces, con malas hierbas de invierno y primavera"
Spergulo arvensis-Erodion cicutariae,V10X,Crops with C4 summer weeds,"Cultivos, con malas hierbas estivales C4"
Allion triquetri,V37Z,Shady and nutrient-rich forest fringes with geophytes,"Orlas forestales escionitrófilas, con geófitos"
Geranio pusilli-Anthriscion caucalidis,V37Y,Shady and nutrient-rich forest fringes with winter annuals,"Orlas forestales escionitrófilas, con vegetación anual de invierno"
Chenopodion muralis,V37X,Disturbed sites with winter annuals,"Lugares alterados, con vegetación anual de invierno"
Echio-Galactition tomentosae,V37W,Subnitrophilous disturbed sites with annual pioneer vegetation,"Lugares alterados subnitrófilos, con vegetación pionera anual"
Linario polygalifoliae-Vulpion alopecuri,V32Z,Disturbed dunes with ephemeral vegetation,"Dunas alteradas, con vegetación anual efímera"
Sisymbrion officinalis,V37V,Disturbed sites with summer annuals,"Lugares alterados, con vegetación anual de verano"
Bidention tripartitae,Q61Z,"Temporarily flooded soils, with summer-annual pioneer vegetation","Suelos temporalmente encharcados, con vegetación pionera anual"
Paspalo-Agrostion semiverticillati,Q61Y,"Submediterranean temporarily flooded soils, with summer-annual pioneer grasslands","Suelos temporalmente encharcados submediterráneos, con céspedes pioneros anuales"
Silybo mariani-Urticion piluliferae,V38Z,Mediterranean thistle fields,Cardales mediterráneos
Carduo carpetani-Cirsion odontolepidis,V38Y,Supramediterranean thistle fields of the Cantabrian Mountains,Cardales supramediterráneos orocantábricos
Cirsion richterano-chodati,V38X,Montane thistle fields of the Cantabrian Mountains,Cardales montanos orocantábricos
Dauco-Melilotion,V38W,Dry disturbed sites with biennal pioneer vegetation,"Lugares alterados secos, con vegetación pionera bienal"
Geo urbani-Alliarion officinalis,V39Z,Shady and nutrient-rich forest fringes with perennial vegetation,"Orlas forestales escionitrófilas, con vegetación perenne"
Arction lappae,V39Y,"Mesic disturbed sites of the Cantabrian Mountains, with perennial vegetation","Lugares alterados mésicos orocantábricos, con vegetación perenne"
Balloto-Conion maculati,V39X,"Mesic to moist disturbed sites, with tall-herb perennial vegetation","Lugares alterados de mésicos a húmedos, con megaforbios perennes"
Epilobion angustifolii,R57Z,"Forest fringes and clearings on acid soils, with fire-loving tall-herb vegetation","Orlas y claros forestales de suelos ácidos, con megaforbios pirófitos"
Senecionion fluviatilis,R55Z,"Fringes of nutrient-rich ditches and riverbanks, with tall-herb perennial vegetation","Orlas nitrófilas de cunetas y arroyos, con megaforbios"
