Table from  relevés of the file: Xixon.wct;;;;;;;;;;;;;;;
;;T-P27836;T-P27834;T-P22469;T-P27833;T-P27840;T-P27906;T-P27835;T-P27905;T-P27798;T-P28113;T-P28112;T-P28104;T-P27904;T-P28146
Lolium perenne;0;2;2;r;.;.;.;.;.;4;.;4;r;.;.
Polygonum aviculare aggr.;0;.;.;.;.;.;r;.;.;.;r;2;2;.;.
Plantago coronopus aggr.;0;.;.;.;.;.;.;.;.;r;2;2;.;3;.
Poa pratensis aggr.;0;r;r;2;.;.;.;.;.;r;.;.;.;.;.
Centaurea coronata;0;r;r;2;.;.;.;.;.;.;.;.;.;.;.
Anthoxanthum odoratum aggr.;0;2;2;2;.;.;.;.;.;.;.;.;.;.;.
Trisetum flavescens;0;2;r;r;.;.;.;.;.;.;.;.;.;.;.
Cynosurus cristatus;0;2;2;r;.;.;.;.;.;.;.;.;.;.;.
Ranunculus acris aggr.;0;r;r;r;.;.;.;.;.;.;.;.;.;.;.
Ligustrum vulgare;0;.;.;.;2;2;.;2;.;.;.;.;.;.;.
Schedonorus pratensis;0;2;2;2;.;.;.;.;.;.;.;.;.;.;.
Briza media;0;r;r;2;.;.;.;.;.;.;.;.;.;.;.
Dioscorea communis;0;.;.;.;r;2;.;r;.;.;.;.;.;.;.
Gaudinia fragilis;0;r;2;r;.;.;.;.;.;.;.;.;.;.;.
Trifolium fragiferum;0;.;.;.;.;.;.;.;.;3;r;.;.;r;.
Linum bienne;0;2;r;2;.;.;.;.;.;.;.;.;.;.;.
Plantago media;0;r;r;r;.;.;.;.;.;.;.;.;.;.;.
Leontodon hispidus;0;2;r;r;.;.;.;.;.;.;.;.;.;.;.
Poa trivialis;0;r;r;2;.;.;.;.;.;.;.;.;.;.;.
Agrostis capillaris;0;3;3;3;.;.;.;.;.;.;.;.;.;.;.
Lotus corniculatus;0;2;r;3;.;.;.;.;.;.;.;.;.;.;.
Stellaria media;0;.;.;.;.;.;2;.;2;.;.;.;.;.;.
Senecio vulgaris;0;.;.;.;.;.;.;.;2;.;.;.;.;.;.
Sonchus oleraceus;0;.;.;.;.;.;r;.;r;.;.;.;.;.;.
Raphanus raphanistrum;0;.;.;.;.;.;.;.;r;.;.;.;.;.;.
Veronica persica;0;.;.;.;.;.;5;.;.;.;.;.;.;.;.
Vicia sativa;0;.;r;.;.;.;.;.;.;.;.;.;.;.;.
Anagallis arvensis;0;.;.;.;.;.;.;.;.;.;2;.;.;.;.
Geranium dissectum;0;.;.;.;.;.;.;.;r;.;.;.;.;.;.
Convolvulus arvensis;0;.;.;.;.;.;r;.;.;r;.;.;.;.;.
Euphorbia peplus;0;.;.;.;.;.;2;.;.;.;.;.;.;.;.
Ochlopoa annua;0;.;.;.;.;.;.;.;.;.;r;r;3;r;2
Oxalis violacea;0;.;.;.;.;.;2;.;.;.;.;.;.;.;.
Medicago lupulina;0;r;.;.;.;.;.;.;.;.;.;.;.;.;.
Pteridium aquilinum;0;.;.;.;.;.;.;r;.;.;.;.;.;.;.
Urtica membranacea;0;.;.;.;.;.;.;.;4;.;.;.;.;.;.
Galactites tomentosus;0;.;.;.;.;.;.;.;r;.;.;.;.;.;.
Bellis perennis;0;.;r;.;.;.;.;.;.;.;.;.;.;.;.
Trifolium campestre;0;r;.;.;.;.;.;.;.;.;.;.;.;.;.
Trifolium dubium;0;r;.;.;.;.;.;.;.;.;.;.;.;.;.
Lepidium didymum;0;.;.;.;.;.;.;.;.;.;.;.;2;.;.
Bromus hordeaceus;0;r;.;2;.;.;.;.;.;.;.;.;.;.;.
Brassica nigra;0;.;.;.;.;.;2;.;.;.;.;.;.;.;.
Crepis capillaris;0;2;2;2;.;.;.;.;.;.;.;.;.;.;.
Ranunculus bulbosus;0;r;.;.;.;.;.;.;.;.;.;.;.;.;.
Vicia tetrasperma;0;r;.;.;.;.;.;.;.;.;.;.;.;.;.
Sagina apetala;0;.;.;.;.;.;.;.;.;.;.;.;.;.;3
Urtica dioica;0;.;.;.;2;r;.;.;.;.;.;.;.;.;.
Calystegia sepium;0;.;.;.;r;2;.;.;.;.;.;.;.;.;.
Chenopodiastrum murale;0;.;.;.;.;.;2;.;.;.;.;.;.;.;.
Vulpia bromoides;0;r;r;.;.;.;.;.;.;.;.;.;.;.;.
Taraxacum;0;.;.;.;.;.;.;.;.;2;.;2;.;.;.
Scrophularia scorodonia;0;.;.;.;.;r;.;.;.;.;.;.;.;.;.
Hypochaeris radicata;0;2;2;2;.;.;.;.;.;.;.;.;.;.;.
Verbena officinalis;0;.;.;.;.;.;.;.;.;r;.;r;.;.;.
Geranium purpureum;0;.;.;.;.;r;.;.;.;.;.;.;.;.;.
Brachypodium rupestre;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Holcus lanatus;0;2;2;3;.;.;.;.;.;.;.;.;.;.;.
Bromus racemosus;0;.;r;.;.;.;.;.;.;.;.;.;.;.;.
Acer pseudoplatanus;0;.;.;.;.;r;.;.;.;.;.;.;.;.;.
Viburnum lantana;0;.;.;.;r;.;.;.;.;.;.;.;.;.;.
Clematis vitalba;0;.;.;.;r;.;.;.;.;.;.;.;.;.;.
Fraxinus excelsior;0;.;.;.;.;r;.;.;.;.;.;.;.;.;.
Quercus pyrenaica;0;.;.;.;.;.;.;r;.;.;.;.;.;.;.
Corylus avellana;0;.;.;.;2;.;.;.;.;.;.;.;.;.;.
Anthyllis vulneraria;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Veronica chamaedrys aggr.;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Sambucus nigra;0;.;.;.;r;.;.;.;.;.;.;.;.;.;.
Galium verum;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Lonicera periclymenum;0;.;.;.;.;.;.;r;.;.;.;.;.;.;.
Castanea sativa;0;.;.;.;.;.;.;r;.;.;.;.;.;.;.
Cerastium fontanum subsp. vulgare;0;.;r;.;.;.;.;.;.;.;.;.;.;.;.
Humulus lupulus;0;.;.;.;2;.;.;.;.;.;.;.;.;.;.
Salix caprea;0;.;.;.;.;.;.;r;.;.;.;.;.;.;.
Agrostis gigantea;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Smilax aspera;0;.;.;.;.;2;.;.;.;.;.;.;.;.;.
Achillea millefolium aggr.;0;.;.;r;.;.;.;.;.;.;.;.;.;.;.
Hedera helix s.l.;0;.;.;.;.;2;.;.;.;.;.;.;.;.;.
Bryum argenteum;0;.;.;.;.;.;.;.;.;.;.;.;.;.;2
Galium aparine;0;.;.;.;2;.;.;r;2;.;.;.;.;.;.
Plantago major;0;.;.;.;.;.;.;.;.;.;2;.;2;.;.
Rumex crispus;0;r;r;.;.;.;.;.;.;.;.;.;.;.;.
Trifolium repens;0;2;2;r;.;.;.;.;.;.;.;.;.;.;.
Cynodon dactylon;0;.;.;.;.;.;.;.;.;.;5;.;.;4;.
Daucus carota;0;r;r;2;.;.;.;.;.;.;.;.;.;.;.
Dactylis glomerata;0;2;2;r;.;.;.;.;.;.;.;.;.;.;.
Leucanthemum vulgare s.l.;0;r;2;.;.;.;.;.;.;.;.;.;.;.;.
Plantago lanceolata;0;2;2;2;.;.;.;.;.;r;.;.;.;.;.
Trifolium pratense;0;3;2;2;.;.;.;.;.;.;.;.;.;.;.
Prunella vulgaris;0;r;.;r;.;.;.;.;.;.;.;.;.;.;.
Prunus spinosa;0;.;.;.;r;2;.;.;.;.;.;.;.;.;.
Euonymus europaeus;0;.;.;.;2;2;.;.;.;.;.;.;.;.;.
Trifolium squamosum;0;r;r;.;.;.;.;.;.;.;.;.;.;.;.
Trifolium patens;0;.;3;r;.;.;.;.;.;.;.;.;.;.;.
Cornus sanguinea;0;.;.;.;3;3;.;.;.;.;.;.;.;.;.
Festuca rubra aggr.;0;.;r;2;.;.;.;.;.;.;.;.;.;.;.
Crataegus monogyna;0;.;.;.;r;.;.;r;.;.;.;.;.;.;.
Rubia peregrina;0;.;.;.;r;2;.;.;.;.;.;.;.;.;.
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Table head:;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Relevé number;UTM10X10;UTM1X1;SIVIMID;JuiceID;OriginalElevation;Plant.Cover;Aspect;Slope;Area;EUNIS2020;DEG_LON;DEG_LAT;Sintaxon;;
527836;30TTP82;;T-P27836;14046;NA;100;;NA;1;R;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum;;
527834;30TTP82;;T-P27834;14044;NA;100;;NA;1;V34;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum;;
522469;30TTP82;;T-P22469;19254;NA;NA;;NA;1;V39;-5.665984283;43.52893451;Fumario capreolatae-Veronicetum persicae;;
527833;30TTP82;;T-P27833;14043;NA;100;;NA;1;V34;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum;;
527840;30TTP82;;T-P27840;14050;20;80;;NA;NA;V35;-5.658685532;43.53317989;Asociación de Lolium perenne-Plantago major;;
527906;30TTP82;;T-P27906;14082;60;NA;E;2;100;R;-5.664835314;43.5042246;Lino-Cynosuretum;;
527835;30TTP82;;T-P27835;14045;NA;80;;NA;1;R;-5.665984283;43.52893451;Asociación de Plantago coronopus-Trifolium fragiferum;;
527905;30TTP82;;T-P27905;14081;40;NA;W;3;20;R22;-5.702547735;43.51774482;Lino-Cynosuretum;;
527798;30TTP82;;T-P27798;14029;30;NA;NE;NA;30;V15;-5.599883033;43.54713832;Comunidad de Brassica nigra;;
528113;30TTP82;;T-P28113;14185;250;NA;;NA;NA;S35;-5.665984283;43.52893451;Asociación de Rubus ulmifolius-Tamus communis;;
528112;30TTP82;;T-P28112;14184;70;NA;;NA;NA;S35;-5.709882715;43.51577033;Asociación de Rubus ulmifolius-Tamus communis;;
528104;30TTP82;;T-P28104;14176;75;NA;SE;NA;NA;R;-5.697122955;43.50706851;Asociación de Rubus ulmifolius-Tamus communis;;
527904;30TTP82;;T-P27904;14080;30;NA;;NA;50;R22;-5.664835314;43.5042246;Lino-Cynosuretum;;
528146;30TTP82;;T-P28146;14198;NA;80;;NA;1;V35;-5.665984283;43.52893451;Sagino-Bryetum argentei;;
